timestamp,type,targetProxyId,rate,duration,defenseTriggered
19750,1,1,5000.000,60.000,false
19750,1,2,5000.000,60.000,false
19750,1,3,5000.000,60.000,false
19750,1,4,5000.000,60.000,false
19751,1,1,5000.000,60.000,false
19751,1,2,5000.000,60.000,false
19751,1,3,5000.000,60.000,false
19751,1,4,5000.000,60.000,false
19752,1,1,5000.000,60.000,false
19752,1,2,5000.000,60.000,false
19752,1,3,5000.000,60.000,false
19752,1,4,5000.000,60.000,false
19753,1,1,5000.000,60.000,false
19753,1,2,5000.000,60.000,false
19753,1,3,5000.000,60.000,false
19753,1,4,5000.000,60.000,false
19754,1,1,5000.000,60.000,false
19754,1,2,5000.000,60.000,false
19754,1,3,5000.000,60.000,false
19754,1,4,5000.000,60.000,false
19755,1,1,5000.000,60.000,false
19755,1,2,5000.000,60.000,false
19755,1,3,5000.000,60.000,false
19755,1,4,5000.000,60.000,false
19756,1,1,5000.000,60.000,false
19756,1,2,5000.000,60.000,false
19756,1,3,5000.000,60.000,false
19756,1,4,5000.000,60.000,false
19757,1,1,5000.000,60.000,false
19757,1,2,5000.000,60.000,false
19757,1,3,5000.000,60.000,false
19757,1,4,5000.000,60.000,false
19758,1,1,5000.000,60.000,false
19758,1,2,5000.000,60.000,false
19758,1,3,5000.000,60.000,false
19758,1,4,5000.000,60.000,false
19759,1,1,5000.000,60.000,false
19759,1,2,5000.000,60.000,false
19759,1,3,5000.000,60.000,false
19759,1,4,5000.000,60.000,false
19760,1,1,5000.000,60.000,false
19760,1,2,5000.000,60.000,false
19760,1,3,5000.000,60.000,false
19760,1,4,5000.000,60.000,false
19761,1,1,5000.000,60.000,false
19761,1,2,5000.000,60.000,false
19761,1,3,5000.000,60.000,false
19761,1,4,5000.000,60.000,false
19762,1,1,5000.000,60.000,false
19762,1,2,5000.000,60.000,false
19762,1,3,5000.000,60.000,false
19762,1,4,5000.000,60.000,false
19763,1,1,5000.000,60.000,false
19763,1,2,5000.000,60.000,false
19763,1,3,5000.000,60.000,false
19763,1,4,5000.000,60.000,false
19764,1,1,5000.000,60.000,false
19764,1,2,5000.000,60.000,false
19764,1,3,5000.000,60.000,false
19764,1,4,5000.000,60.000,false
19765,1,1,5000.000,60.000,false
19765,1,2,5000.000,60.000,false
19765,1,3,5000.000,60.000,false
19765,1,4,5000.000,60.000,false
19766,1,1,5000.000,60.000,false
19766,1,2,5000.000,60.000,false
19766,1,3,5000.000,60.000,false
19766,1,4,5000.000,60.000,false
19767,1,1,5000.000,60.000,false
19767,1,2,5000.000,60.000,false
19767,1,3,5000.000,60.000,false
19767,1,4,5000.000,60.000,false
19768,1,1,5000.000,60.000,false
19768,1,2,5000.000,60.000,false
19768,1,3,5000.000,60.000,false
19768,1,4,5000.000,60.000,false
19769,1,1,5000.000,60.000,false
19769,1,2,5000.000,60.000,false
19769,1,3,5000.000,60.000,false
19769,1,4,5000.000,60.000,false
19770,1,1,5000.000,60.000,false
19770,1,2,5000.000,60.000,false
19770,1,3,5000.000,60.000,false
19770,1,4,5000.000,60.000,false
19771,1,1,5000.000,60.000,false
19771,1,2,5000.000,60.000,false
19771,1,3,5000.000,60.000,false
19771,1,4,5000.000,60.000,false
19772,1,1,5000.000,60.000,false
19772,1,2,5000.000,60.000,false
19772,1,3,5000.000,60.000,false
19772,1,4,5000.000,60.000,false
19773,1,1,5000.000,60.000,false
19773,1,2,5000.000,60.000,false
19773,1,3,5000.000,60.000,false
19773,1,4,5000.000,60.000,false
19774,1,1,5000.000,60.000,false
19774,1,2,5000.000,60.000,false
19774,1,3,5000.000,60.000,false
19774,1,4,5000.000,60.000,false
19775,1,1,5000.000,60.000,false
19775,1,2,5000.000,60.000,false
19775,1,3,5000.000,60.000,false
19775,1,4,5000.000,60.000,false
19776,1,1,5000.000,60.000,false
19776,1,2,5000.000,60.000,false
19776,1,3,5000.000,60.000,false
19776,1,4,5000.000,60.000,false
19777,1,1,5000.000,60.000,false
19777,1,2,5000.000,60.000,false
19777,1,3,5000.000,60.000,false
19777,1,4,5000.000,60.000,false
19778,1,1,5000.000,60.000,false
19778,1,2,5000.000,60.000,false
19778,1,3,5000.000,60.000,false
19778,1,4,5000.000,60.000,false
19779,1,1,5000.000,60.000,false
19779,1,2,5000.000,60.000,false
19779,1,3,5000.000,60.000,false
19779,1,4,5000.000,60.000,false
19780,1,1,5000.000,60.000,false
19780,1,2,5000.000,60.000,false
19780,1,3,5000.000,60.000,false
19780,1,4,5000.000,60.000,false
19781,1,1,5000.000,60.000,false
19781,1,2,5000.000,60.000,false
19781,1,3,5000.000,60.000,false
19781,1,4,5000.000,60.000,false
19782,1,1,5000.000,60.000,false
19782,1,2,5000.000,60.000,false
19782,1,3,5000.000,60.000,false
19782,1,4,5000.000,60.000,false
19783,1,1,5000.000,60.000,false
19783,1,2,5000.000,60.000,false
19783,1,3,5000.000,60.000,false
19783,1,4,5000.000,60.000,false
19784,1,1,5000.000,60.000,false
19784,1,2,5000.000,60.000,false
19784,1,3,5000.000,60.000,false
19784,1,4,5000.000,60.000,false
19785,1,1,5000.000,60.000,false
19785,1,2,5000.000,60.000,false
19785,1,3,5000.000,60.000,false
19785,1,4,5000.000,60.000,false
19786,1,1,5000.000,60.000,false
19786,1,2,5000.000,60.000,false
19786,1,3,5000.000,60.000,false
19786,1,4,5000.000,60.000,false
19787,1,1,5000.000,60.000,false
19787,1,2,5000.000,60.000,false
19787,1,3,5000.000,60.000,false
19787,1,4,5000.000,60.000,false
19788,1,1,5000.000,60.000,false
19788,1,2,5000.000,60.000,false
19788,1,3,5000.000,60.000,false
19788,1,4,5000.000,60.000,false
19789,1,1,5000.000,60.000,false
19789,1,2,5000.000,60.000,false
19789,1,3,5000.000,60.000,false
19789,1,4,5000.000,60.000,false
19790,1,1,5000.000,60.000,false
19790,1,2,5000.000,60.000,false
19790,1,3,5000.000,60.000,false
19790,1,4,5000.000,60.000,false
19791,1,1,5000.000,60.000,false
19791,1,2,5000.000,60.000,false
19791,1,3,5000.000,60.000,false
19791,1,4,5000.000,60.000,false
19792,1,1,5000.000,60.000,false
19792,1,2,5000.000,60.000,false
19792,1,3,5000.000,60.000,false
19792,1,4,5000.000,60.000,false
19793,1,1,5000.000,60.000,false
19793,1,2,5000.000,60.000,false
19793,1,3,5000.000,60.000,false
19793,1,4,5000.000,60.000,false
19794,1,1,5000.000,60.000,false
19794,1,2,5000.000,60.000,false
19794,1,3,5000.000,60.000,false
19794,1,4,5000.000,60.000,false
19795,1,1,5000.000,60.000,false
19795,1,2,5000.000,60.000,false
19795,1,3,5000.000,60.000,false
19795,1,4,5000.000,60.000,false
19796,1,1,5000.000,60.000,false
19796,1,2,5000.000,60.000,false
19796,1,3,5000.000,60.000,false
19796,1,4,5000.000,60.000,false
19797,1,1,5000.000,60.000,false
19797,1,2,5000.000,60.000,false
19797,1,3,5000.000,60.000,false
19797,1,4,5000.000,60.000,false
19798,1,1,5000.000,60.000,false
19798,1,2,5000.000,60.000,false
19798,1,3,5000.000,60.000,false
19798,1,4,5000.000,60.000,false
19799,1,1,5000.000,60.000,false
19799,1,2,5000.000,60.000,false
19799,1,3,5000.000,60.000,false
19799,1,4,5000.000,60.000,false
19800,1,1,5000.000,60.000,false
19800,1,2,5000.000,60.000,false
19800,1,3,5000.000,60.000,false
19800,1,4,5000.000,60.000,false
19801,1,1,5000.000,60.000,false
19801,1,2,5000.000,60.000,false
19801,1,3,5000.000,60.000,false
19801,1,4,5000.000,60.000,false
19802,1,1,5000.000,60.000,false
19802,1,2,5000.000,60.000,false
19802,1,3,5000.000,60.000,false
19802,1,4,5000.000,60.000,false
19803,1,1,5000.000,60.000,false
19803,1,2,5000.000,60.000,false
19803,1,3,5000.000,60.000,false
19803,1,4,5000.000,60.000,false
19804,1,1,5000.000,60.000,false
19804,1,2,5000.000,60.000,false
19804,1,3,5000.000,60.000,false
19804,1,4,5000.000,60.000,false
19805,1,1,5000.000,60.000,false
19805,1,2,5000.000,60.000,false
19805,1,3,5000.000,60.000,false
19805,1,4,5000.000,60.000,false
19806,1,1,5000.000,60.000,false
